word,phonemes
TERMS,T ER M Z
HOTELS,HH OW T EH L Z
SEND,S EH N D
RIGHT,R AY T
TYPE,T AY P
LOCAL,L OW K AH L
THOSE,DH OW Z
USING,Y UW Z IH NG
OFFICE,AO F AH S
CAR,K AA R
DESIGN,D IH Z AY N
TAKE,T EY K
POSTED,P OW S T IH D
INTERNET,IH N T ER N EH T
STATES,S T EY T S
AREA,EH R IY AH
PHONE,F OW N
SHIPPING,SH IH P IH NG
FORUM,F AO R AH M
LONG,L AO NG
BASED,B EY S T
CODE,K OW D
SHOW,SH OW
EVEN,IY V IH N
BLACK,B L AE K
CHECK,CH EH K
SPECIAL,S P EH SH AH L
WEBSITE,W EH B S AY T
INDEX,IH N D EH K S
BEING,B IY IH NG
WOMEN,W IH M AH N
MUCH,M AH CH
SIGN,S AY N
FILE,F AY L
LINK,L IH NG K
OPEN,OW P AH N
TECHNOLOGY,T EH K N AA L AH JH IY
SOUTH,S AW TH
CASE,K EY S
SAME,S EY M
VERSION,V ER ZH AH N
SECTION,S EH K SH AH N
OWN,OW N
FOUND,F AW N D
SPORTS,S P AO R T S
HOUSE,HH AW S
SECURITY,S IH K Y UH R AH T IY
BOTH,B OW TH
AMERICAN,AH M EH R IH K AH N
PHOTO,F OW T OW
GAME,G EY M
MEMBERS,M EH M B ER Z
POWER,P AW ER
CARE,K EH R
NETWORK,N EH T W ER K
DOWN,D AW N
COMPUTER,K AH M P Y UW T ER
SYSTEMS,S IH S T AH M Z
THREE,TH R IY
TOTAL,T OW T AH L
PLACE,P L EY S
END,EH N D
FOLLOWING,F AA L OW IH NG
DOWNLOAD,D AW N L OW D
PER,P ER
ACCESS,AE K S EH S
THINK,TH IH NG K
NORTH,N AO R TH
RESOURCES,R IY S AO R S IH Z
POSTS,P OW S T S
BIG,B IH G
MEDIA,M IY D IY AH
CONTROL,K AH N T R OW L
WATER,W AO T ER
PICTURES,P IH K CH ER Z
SIZE,S AY Z
ART,AA R T
PERSONAL,P ER S IH N AH L
SINCE,S IH N S
INCLUDING,IH N K L UW D IH NG
GUIDE,G AY D
SHOP,SH AA P
BOARD,B AO R D
LOCATION,L OW K EY SH AH N
CHANGE,CH EY N JH
TEXT,T EH K S T
SMALL,S M AO L
RATING,R EY T IH NG
RATE,R EY T
GOVERNMENT,G AH V ER N M AH N T
CHILDREN,CH IH L D R AH N
STUDENTS,S T UW D AH N T S
SHOPPING,SH AA P IH NG
ACCOUNT,AH K AW N T
TIMES,T AY M Z
SITES,S AY T S
LEVEL,L EH V AH L
PROFILE,P R OW F AY L
PREVIOUS,P R IY V IY AH S
FORM,F AO R M
LOVE,L AH V
OLD,OW L D
JOHN,JH AA N
MAIN,M EY N
CALL,K AO L
DEPARTMENT,D IH P AA R T M AH N T
TITLE,T AY T AH L
DESCRIPTION,D IH S K R IH P SH AH N
NON,N AA N
INSURANCE,IH N SH UH R AH N S
ANOTHER,AH N AH DH ER
SHALL,SH AE L
PROPERTY,P R AA P ER T IY
CLASS,K L AE S
CD,S IY D IY
STILL,S T IH L
MONEY,M AH N IY
QUALITY,K W AA L AH T IY
LISTING,L IH S T IH NG
COUNTRY,K AH N T R IY
PRIVATE,P R AY V AH T
LITTLE,L IH T AH L
VISIT,V IH Z IH T
SAVE,S EY V
TOOLS,T UW L Z
LOW,L OW
CUSTOMER,K AH S T AH M ER
DECEMBER,D IH S EH M B ER
COMPARE,K AH M P EH R
MOVIES,M UW V IY Z
INCLUDE,IH N K L UW D
COLLEGE,K AA L IH JH
VALUE,V AE L Y UW
YORK,Y AO R K
MAN,M AE N
CARD,K AA R D
JOBS,JH AA B Z
PROVIDE,P R AH V AY D
FOOD,F UW D
SOURCE,S AO R S
AUTHOR,AO TH ER
PRESS,P R EH S
LEARN,L ER N
SALE,S EY L
PRINT,P R IH N T
COURSE,K AO R S
CANADA,K AE N AH D AH
TEEN,T IY N
ROOM,R UW M
STOCK,S T AA K
TRAINING,T R EY N IH NG
TOO,T UW
POINT,P OY N T
JOIN,JH OY N
SCIENCE,S AY AH N S
MEN,M EH N
CATEGORIES,K AE T AH G AO R IY Z
ADVANCED,AH D V AE N S T
WEST,W EH S T
SALES,S EY L Z
LOOK,L UH K
LEFT,L EH F T
TEAM,T IY M
ESTATE,EH S T EY T
BOX,B AA K S
CONDITIONS,K AH N D IH SH AH N Z
SELECT,S AH L EH K T
WINDOWS,W IH N D OW Z
PHOTOS,F OW T OW Z
GAY,G EY
THREAD,TH R EH D
WEEK,W IY K
CATEGORY,K AE T AH G AO R IY
NOTE,N OW T
LARGE,L AA R JH
GALLERY,G AE L ER IY
TABLE,T EY B AH L
REGISTER,R EH JH IH S T ER
HOWEVER,HH AW EH V ER
JUNE,JH UW N
OCTOBER,AA K T OW B ER
NOVEMBER,N OW V EH M B ER
LIBRARY,L AY B R EH R IY
ACTION,AE K SH AH N
START,S T AA R T
SERIES,S IH R IY Z
MODEL,M AA D AH L
FEATURES,F IY CH ER Z
AIR,EH R
INDUSTRY,IH N D AH S T R IY
PLAN,P L AE N
YES,Y EH S
SECOND,S EH K AH N D
HOT,HH AA T
ACCESSORIES,AE K S EH S ER IY Z
MOVIE,M UW V IY
FORUMS,F AO R AH M Z
MARCH,M AA R CH
LA,L AA
SEPTEMBER,S EH P T EH M B ER
BETTER,B EH T ER
SAY,S EY
QUESTIONS,K W EH S CH AH N Z
YAHOO,Y AA HH UW
TEST,T EH S T
FRIEND,F R EH N D
COME,K AH M
DEC,D EH K
SERVER,S ER V ER
PC,P IY S IY
STUDY,S T AH D IY
APPLICATION,AE P L AH K EY SH AH N
CART,K AA R T
STAFF,S T AE F
SAN,S AE N
FEEDBACK,F IY D B AE K
PLAY,P L EY
LOOKING,L UH K IH NG
ISSUES,IH SH UW Z
APRIL,EY P R AH L
NEVER,N EH V ER
USERS,Y UW Z ER Z
COMPLETE,K AH M P L IY T
STREET,S T R IY T
TOPIC,T AA P IH K
COMMENT,K AA M EH N T
THINGS,TH IH NG Z
WORKING,W ER K IH NG
STANDARD,S T AE N D ER D
TAX,T AE K S
PERSON,P ER S AH N
MOBILE,M OW B AH L
LESS,L EH S
GOT,G AA T
BLOG,B L AO G
PARTY,P AA R T IY
PAYMENT,P EY M AH N T
EQUIPMENT,IH K W IH P M AH N T
STUDENT,S T UW D AH N T
LET,L EH T
PROGRAMS,P R OW G R AE M Z
OFFERS,AO F ER Z
LEGAL,L IY G AH L
ABOVE,AH B AH V
RECENT,R IY S AH N T
PARK,P AA R K
STORES,S T AO R Z
SIDE,S AY D
ACT,AE K T
PROBLEM,P R AA B L AH M
RED,R EH D
GIVE,G IH V
MEMORY,M EH M ER IY
PERFORMANCE,P ER F AO R M AH N S
SOCIAL,S OW SH AH L
QUOTE,K W OW T
STORY,S T AO R IY
SELL,S EH L
EXPERIENCE,IH K S P IH R IY AH N S
RATES,R EY T S
CREATE,K R IY EY T
KEY,K IY
BODY,B AA D IY
YOUNG,Y AH NG
AMERICA,AH M EH R IH K AH
IMPORTANT,IH M P AO R T AH N T
FIELD,F IY L D
FEW,F Y UW
EAST,IY S T
PAPER,P EY P ER
SINGLE,S IH NG G AH L
AGE,EY JH
ACTIVITIES,AE K T IH V IH T IY Z
CLUB,K L AH B
EXAMPLE,IH G Z AE M P AH L
GIRLS,G ER L Z
ADDITIONAL,AH D IH SH AH N AH L
PASSWORD,P AE S W ER D
LATEST,L EY T AH S T
SOMETHING,S AH M TH IH NG
ROAD,R OW D
GIFT,G IH F T
NIGHT,N AY T
HARD,HH AA R D
TEXAS,T EH K S AH S
OCT,AO K T
PAY,P EY
FOUR,F AO R
POKER,P OW K ER
BROWSE,B R AW Z
ISSUE,IH SH UW
RANGE,R EY N JH
BUILDING,B IH L D IH NG
SELLER,S EH L ER
COURT,K AO R T
AUDIO,AA D IY OW
LIGHT,L AY T
WRITE,R AY T
WAR,W AO R
NOV,N OW V
OFFER,AO F ER
BLUE,B L UW
GROUPS,G R UW P S
AL,AE L
EASY,IY Z IY
FILES,F AY L Z
RELEASE,R IY L IY S
ANALYSIS,AE N AE L IH S IH S
FAX,F AE K S
CHINA,CH AY N AH
MAKING,M EY K IH NG
PICTURE,P IH K CH ER
NEEDS,N IY D Z
POSSIBLE,P AA S AH B AH L
MIGHT,M AY T
PROFESSIONAL,P R AH F EH SH AH N AH L
YET,Y EH T
MONTH,M AH N TH
MAJOR,M EY JH ER
STAR,S T AA R
AREAS,EH R IY AH Z
FUTURE,F Y UW CH ER
SPACE,S P EY S
COMMITTEE,K AH M IH T IY
HAND,HH AE N D
SUN,S AH N
CARDS,K AA R D Z
PROBLEMS,P R AA B L AH M Z
LONDON,L AH N D AH N
MEETING,M IY T IH NG
BECOME,B IH K AH M
INTEREST,IH N T AH R EH S T
CHILD,CH AY L D
KEEP,K IY P
CALIFORNIA,K AE L AH F AO R N Y AH
PORN,P AO R N
SHARE,SH EH R
SIMILAR,S IH M AH L ER
GARDEN,G AA R D AH N
SCHOOLS,S K UW L Z
MILLION,M IH L Y AH N
ADDED,AE D IH D
COMPANIES,K AH M P AH N IY Z
BABY,B EY B IY
LEARNING,L ER N IH NG
ENERGY,EH N ER JH IY
RUN,R AH N
DELIVERY,D IH L IH V ER IY
NET,N EH T
POPULAR,P AA P Y AH L ER
TERM,T ER M
FILM,F IH L M
STORIES,S T AO R IY Z
PUT,P UH T
COMPUTERS,K AH M P Y UW T ER Z
JOURNAL,JH ER N AH L
CO,K OW
TRY,T R AY
WELCOME,W EH L K AH M
CENTRAL,S EH N T R AH L
PRESIDENT,P R EH Z IH D AH N T
GOD,G AA D
ORIGINAL,ER IH JH AH N AH L
HEAD,HH EH D
RADIO,R EY D IY OW
UNTIL,AH N T IH L
CELL,S EH L
SELF,S EH L F
COUNCIL,K AW N S AH L
AWAY,AH W EY
INCLUDES,IH N K L UW D Z
TRACK,T R AE K
AUSTRALIA,AO S T R EY L Y AH
DISCUSSION,D IH S K AH SH AH N
ARCHIVE,AA R K AY V
ONCE,W AH N S
OTHERS,AH DH ER Z
AGREEMENT,AH G R IY M AH N T
FORMAT,F AO R M AE T
LEAST,L IY S T
SOCIETY,S OW S AY IH T IY
MONTHS,M AH N TH S
LOG,L AO G
SAFETY,S EY F T IY
FRIENDS,F R EH N D Z
SURE,SH UH R
TRADE,T R EY D
MARKETING,M AA R K AH T IH NG
TELL,T EH L
FURTHER,F ER DH ER
ABLE,EY B AH L
HAVING,HH AE V IH NG
PROVIDES,P R AH V AY D Z
DAVID,D EY V IH D
FUN,F AH N
GREEN,G R IY N
STUDIES,S T AH D IY Z
COMMON,K AA M AH N
DRIVE,D R AY V
SEVERAL,S EH V ER AH L
GOLD,G OW L D
FEB,F EH B Y AH W EH R IY
LIVING,L IH V IH NG
COLLECTION,K AH L EH K SH AH N
CALLED,K AO L D
SHORT,SH AO R T
ARTS,AA R T S
ASK,AE S K
DISPLAY,D IH S P L EY
POWERED,P AW ER D
SOLUTIONS,S AH L UW SH AH N Z
MEANS,M IY N Z
DAILY,D EY L IY
BEACH,B IY CH
PAST,P AE S T
ET,EH T
ELECTRONICS,IH L EH K T R AA N IH K S
FIVE,F AY V
UPON,AH P AA N
PERIOD,P IH R IY AH D
PLANNING,P L AE N IH NG
OFFICIAL,AH F IH SH AH L
WEATHER,W EH DH ER
MAR,M AA R
LAND,L AE N D
DONE,D AH N
TECHNICAL,T EH K N IH K AH L
WINDOW,W IH N D OW
FRANCE,F R AE N S
PRO,P R OW
REGION,R IY JH AH N
ISLAND,AY L AH N D
MICROSOFT,M AY K R OW S AO F T
ENVIRONMENT,IH N V AY R AH N M AH N T
DISTRICT,D IH S T R IH K T
CALENDAR,K AE L AH N D ER
STYLE,S T AY L
FRONT,F R AH N T
STATEMENT,S T EY T M AH N T
PARTS,P AA R T S
AUG,AO G AH S T
EVER,EH V ER
DOWNLOADS,D AW N L OW D Z
EARLY,ER L IY
SOUND,S AW N D
RESOURCE,R IY S AO R S
APPLICATIONS,AE P L AH K EY SH AH N Z
AGO,AH G OW
WORD,W ER D
WORKS,W ER K S
MATERIAL,M AH T IH R IY AH L
BILL,B IH L
WRITTEN,R IH T AH N
TALK,T AO K
HOSTING,HH OW S T IH NG
RULES,R UW L Z
FINAL,F AY N AH L
THING,TH IH NG
CENTRE,S EH N T ER
REQUIREMENTS,R IH K W AY R M AH N T S
CHEAP,CH IY P
NUDE,N UW D
KIDS,K IH D Z
TRUE,T R UW
MINUTES,M IH N AH T S
ELSE,EH L S
MARK,M AA R K
THIRD,TH ER D
ROCK,R AA K
EUROPE,Y UH R AH P
TOPICS,T AA P IH K S
BAD,B AE D
INDIVIDUAL,IH N D AH V IH JH AH W AH L
TIPS,T IH P S
PLUS,P L AH S
AUTO,AO T OW
COVER,K AH V ER
EDIT,EH D AH T
TOGETHER,T AH G EH DH ER
VIDEOS,V IH D IY OW Z
PERCENT,P ER S EH N T
FAST,F AE S T
FUNCTION,F AH NG K SH AH N
FACT,F AE K T
GLOBAL,G L OW B AH L
TECH,T EH K
MEET,M IY T
FAR,F AA R
EN,EH N
PLAYER,P L EY ER
LYRICS,L IH R IH K S
SUBSCRIBE,S AH B S K R AY B
SUBMIT,S AH B M IH T
GERMANY,JH ER M AH N IY
AMOUNT,AH M AW N T
FEEL,F IY L
THOUGH,DH OW
BANK,B AE NG K
RISK,R IH S K
THANKS,TH AE NG K S
EVERYTHING,EH V R IY TH IH NG
DEALS,D IY L Z
VARIOUS,V EH R IY AH S
WORDS,W ER D Z
LINUX,L IH N AH K S
COMMERCIAL,K AH M ER SH AH L
JAMES,JH EY M Z
WEIGHT,W EY T
TOWN,T AW N
HEART,HH AA R T
ADVERTISING,AE D V ER T AY Z IH NG
CHOOSE,CH UW Z
TREATMENT,T R IY T M AH N T
NEWSLETTER,N UW Z L EH T ER
ARCHIVES,AA R K AY V Z
POINTS,P OY N T S
MAGAZINE,M AE G AH Z IY N
ERROR,EH R ER
JUN,JH AH N
GIRL,G ER L
CURRENTLY,K ER AH N T L IY
CONSTRUCTION,K AH N S T R AH K SH AH N
TOYS,T OY Z
REGISTERED,R EH JH IH S T ER D
CLEAR,K L IH R
DOMAIN,D OW M EY N
METHODS,M EH TH AH D Z
CHAPTER,CH AE P T ER
MAKES,M EY K S
PROTECTION,P R AH T EH K SH AH N
POLICIES,P AA L AH S IY Z
LOAN,L OW N
WIDE,W AY D
BEAUTY,B Y UW T IY
INDIA,IH N D IY AH
POSITION,P AH Z IH SH AH N
TAKEN,T EY K AH N
SORT,S AO R T
LISTINGS,L IH S T IH NG Z
MODELS,M AA D AH L Z
MICHAEL,M AY K AH L
KNOWN,N OW N
HALF,HH AE F
STEP,S T EH P
ENGINEERING,EH N JH AH N IH R IH NG
SIMPLE,S IH M P AH L
QUICK,K W IH K
NONE,N AH N
WIRELESS,W AY R L IH S
LICENSE,L AY S AH N S
PAUL,P AO L
LAKE,L EY K
WHOLE,HH OW L
ANNUAL,AE N Y UW AH L
PUBLISHED,P AH B L IH SH T
LATER,L EY T ER
BASIC,B EY S IH K
SONY,S OW N IY
SHOWS,SH OW Z
GOOGLE,G UW G AH L
CHURCH,CH ER CH
METHOD,M EH TH AH D
PURCHASE,P ER CH AH S
CUSTOMERS,K AH S T AH M ER Z
ACTIVE,AE K T IH V
PRACTICE,P R AE K T IH S
HARDWARE,HH AA R D W EH R
FIGURE,F IH G Y ER
MATERIALS,M AH T IH R IY AH L Z
CHAT,CH AE T
DESIGNED,D IH Z AY N D
ALONG,AH L AO NG
AMONG,AH M AH NG
DEATH,D EH TH
WRITING,R AY T IH NG
SPEED,S P IY D
COUNTRIES,K AH N T R IY Z
LOSS,L AO S
FACE,F EY S
BRAND,B R AE N D
HIGHER,HH AY ER
STANDARDS,S T AE N D ER D Z
OIL,OY L
BIT,B IH T
YELLOW,Y EH L OW
ADVERTISE,AE D V ER T AY Z
KINGDOM,K IH NG D AH M
BASE,B EY S
NEAR,N IH R
THOUGHT,TH AO T
STUFF,S T AH F
FRENCH,F R EH N CH
OH,OW
JAPAN,JH AH P AE N
DOING,D UW IH NG
LOANS,L OW N Z
SHOES,SH UW Z
ENTRY,EH N T R IY
STAY,S T EY
NATURE,N EY CH ER
ORDERS,AO R D ER Z
AFRICA,AE F R IH K AA
SUMMARY,S AH M ER IY
TURN,T ER N
MEAN,M IY N
GROWTH,G R OW TH
NOTES,N OW T S
AGENCY,EY JH AH N S IY
KING,K IH NG
EUROPEAN,Y UH R AH P IY AH N
ACTIVITY,AE K T IH V IH T IY
COPY,K AA P IY
ALTHOUGH,AO L DH OW
DRUG,D R AH G
INCOME,IH N K AH M
FORCE,F AO R S
CASH,K AE SH
OVERALL,OW V ER AO L
BAY,B EY
RIVER,R IH V ER
COMMISSION,K AH M IH SH AH N
AD,AE D
SEEN,S IY N
PLAYERS,P L EY ER Z
PORT,P AO R T
ALBUM,AE L B AH M
REGIONAL,R IY JH AH N AH L
STOP,S T AA P
SUPPLIES,S AH P L AY Z
ADMINISTRATION,AE D M IH N IH S T R EY SH AH N
BAR,B AA R
INSTITUTE,IH N S T IH T UW T
VIEWS,V Y UW Z
PLANS,P L AE N Z
DOUBLE,D AH B AH L
DOG,D AO G
BUILD,B IH L D
SCREEN,S K R IY N
EXCHANGE,IH K S CH EY N JH
TYPES,T AY P S
SOON,S UW N
SPONSORED,S P AA N S ER D
LINES,L AY N Z
ELECTRONIC,IH L EH K T R AA N IH K
CONTINUE,K AH N T IH N Y UW
ACROSS,AH K R AO S
BENEFITS,B EH N AH F IH T S
SEASON,S IY Z AH N
APPLY,AH P L AY
SOMEONE,S AH M W AH N
HELD,HH EH L D
ANYTHING,EH N IY TH IH NG
CONDITION,K AH N D IH SH AH N
BELIEVE,B IH L IY V
ORGANIZATION,AO R G AH N AH Z EY SH AH N
MIND,M AY N D
SELECTION,S AH L EH K SH AH N
CASINO,K AH S IY N OW
LOST,L AO S T
TOUR,T UH R
MENU,M EH N Y UW
VOLUME,V AA L Y UW M
CROSS,K R AO S
HOPE,HH OW P
SILVER,S IH L V ER
CORPORATION,K AO R P ER EY SH AH N
WISH,W IH SH
SOLUTION,S AH L UW SH AH N
ROLE,R OW L
WEEKS,W IY K S
ADDITION,AH D IH SH AH N
CAME,K EY M
SUPPLY,S AH P L AY
NOTHING,N AH TH IH NG
CERTAIN,S ER T AH N
EXECUTIVE,IH G Z EH K Y AH T IH V
RUNNING,R AH N IH NG
LOWER,L OW ER
NECESSARY,N EH S AH S EH R IY
UNION,Y UW N Y AH N
ACCORDING,AH K AO R D IH NG
DC,D IY S IY
CLOTHING,K L OW DH IH NG
COM,K AA M
FINE,F AY N
NAMES,N EY M Z
ROBERT,R AA B ER T
GAS,G AE S
SKILLS,S K IH L Z
SIX,S IH K S
BUSH,B UH SH
ISLANDS,AY L AH N D Z
CAREER,K ER IH R
RENTAL,R EH N T AH L
DECISION,D IH S IH ZH AH N
LEAVE,L IY V
BRITISH,B R IH T IH SH
TEENS,T IY N Z
SAT,S AE T
WOMAN,W UH M AH N
ZIP,Z IH P
BID,B IH D
KIND,K AY N D
SELLERS,S EH L ER Z
MIDDLE,M IH D AH L
MOVE,M UW V
CABLE,K EY B AH L
OPPORTUNITIES,AA P ER T UW N AH T IY Z
TAKING,T EY K IH NG
VALUES,V AE L Y UW Z
DIVISION,D IH V IH ZH AH N
COMING,K AH M IH NG
LESBIAN,L EH Z B IY AH N
MACHINE,M AH SH IY N
LOGO,L OW G OW
SCORE,S K AO R
STATISTICS,S T AH T IH S T IH K S
CLIENT,K L AY AH N T
CAPITAL,K AE P IH T AH L
FOLLOW,F AA L OW
SAMPLE,S AE M P AH L
SENT,S EH N T
SHOWN,SH OW N
CHRISTMAS,K R IH S M AH S
ENGLAND,IH NG G L AH N D
CULTURE,K AH L CH ER
BAND,B AE N D
FLASH,F L AE SH
MS,M IH Z
GEORGE,JH AO R JH
CHOICE,CH OY S
WENT,W EH N T
STARTING,S T AA R T IH NG
REGISTRATION,R EH JH IH S T R EY SH AH N
CONSUMER,K AH N S UW M ER
HI,HH AY
AIRPORT,EH R P AO R T
OUTSIDE,AW T S AY D
FURNITURE,F ER N IH CH ER
LEVELS,L EH V AH L Z
CHANNEL,CH AE N AH L
LETTER,L EH T ER
MODE,M OW D
PHONES,F OW N Z
IDEAS,AY D IY AH Z
STRUCTURE,S T R AH K CH ER
FUND,F AH N D
SUMMER,S AH M ER
ALLOW,AH L AW
DEGREE,D IH G R IY
BUTTON,B AH T AH N
RELEASES,R IH L IY S IH Z
WED,W EH D
HOMES,HH OW M Z
SUPER,S UW P ER
MALE,M EY L
MATTER,M AE T ER
CUSTOM,K AH S T AH M
VIRGINIA,V ER JH IH N Y AH
ALMOST,AO L M OW S T
TOOK,T UH K
MULTIPLE,M AH L T AH P AH L
ASIAN,EY ZH AH N
DISTRIBUTION,D IH S T R AH B Y UW SH AH N
INN,IH N
INDUSTRIAL,IH N D AH S T R IY AH L
POTENTIAL,P AH T EH N SH AH L
SONG,S AO NG
LATE,L EY T
FEATURED,F IY CH ER D
IDEA,AY D IY AH
ROOMS,R UW M Z
FEMALE,F IY M EY L
RESPONSIBLE,R IY S P AA N S AH B AH L
INC,IH NG K
COMMUNICATIONS,K AH M Y UW N AH K EY SH AH N Z
WIN,W IH N
THOMAS,T AA M AH S
PRIMARY,P R AY M EH R IY
CANCER,K AE N S ER
NUMBERS,N AH M B ER Z
REASON,R IY Z AH N
TOOL,T UW L
BROWSER,B R AW Z ER
FOUNDATION,F AW N D EY SH AH N
ANSWER,AE N S ER
VOICE,V OY S
FRIENDLY,F R EH N D L IY
COMMUNICATION,K AH M Y UW N AH K EY SH AH N
PURPOSE,P ER P AH S
FEATURE,F IY CH ER
BED,B EH D
COMES,K AH M Z
POLICE,P AH L IY S
EVERYONE,EH V R IY W AH N
INDEPENDENT,IH N D IH P EH N D AH N T
APPROACH,AH P R OW CH
BROWN,B R AW N
PHYSICAL,F IH Z IH K AH L
HILL,HH IH L
MAPS,M AE P S
MEDICINE,M EH D AH S AH N
DEAL,D IY L
HOLD,HH OW L D
RATINGS,R EY T IH NG Z
CHICAGO,SH AH K AA G OW
FORMS,F AO R M Z
GLASS,G L AE S
HAPPY,HH AE P IY
TUE,T UW
SMITH,S M IH TH
WANTED,W AO N T IH D
DEVELOPED,D IH V EH L AH P T
THANK,TH AE NG K
SAFE,S EY F
UNIQUE,Y UW N IY K
PRIOR,P R AY ER
TELEPHONE,T EH L AH F OW N
SPORT,S P AO R T
READY,R EH D IY
FEED,F IY D
ANIMAL,AE N AH M AH L
SOURCES,S AO R S AH Z
MEXICO,M EH K S AH K OW
POPULATION,P AA P Y AH L EY SH AH N
PA,P AA
SECURE,S IH K Y UH R
OPERATIONS,AA P ER EY SH AH N Z
THEREFORE,DH EH R F AO R
ASS,AE S
SIMPLY,S IH M P L IY
EVIDENCE,EH V AH D AH N S
STATION,S T EY SH AH N
ROUND,R AW N D
UNDERSTAND,AH N D ER S T AE N D
MASTER,M AE S T ER
VALLEY,V AE L IY
PROBABLY,P R AA B AH B L IY
RENTALS,R EH N T AH L Z
SEA,S IY
BUILT,B IH L T
PUBLICATIONS,P AH B L IH K EY SH AH N Z
BLOOD,B L AH D
CUT,K AH T
WORLDWIDE,W ER L D W AY D
IMPROVE,IH M P R UW V
CONNECTION,K AH N EH K SH AH N
PUBLISHER,P AH B L IH SH ER
HALL,HH AO L
LARGER,L AA R JH ER
NETWORKS,N EH T W ER K S
EARTH,ER TH
PARENTS,P EH R AH N T S
NOKIA,N OW K IY AH
KITCHEN,K IH CH AH N
STRONG,S T R AO NG
TEL,T EH L
CAROLINA,K EH R AH L AY N AH
WEDDING,W EH D IH NG
PROPERTIES,P R AA P ER T IY Z
HOSPITAL,HH AA S P IH T AH L
GROUND,G R AW N D
OVERVIEW,OW V ER V Y UW
SHIP,SH IH P
ACCOMMODATION,AH K AA M AH D EY SH AH N
OWNERS,OW N ER Z
DISEASE,D IH Z IY Z
EXCELLENT,EH K S AH L AH N T
PAID,P EY D
ITALY,IH T AH L IY
HAIR,HH EH R
OPPORTUNITY,AA P ER T UW N AH T IY
KIT,K IH T
CLASSIC,K L AE S IH K
COMMAND,K AH M AE N D
CITIES,S IH T IY Z
WILLIAM,W IH L Y AH M
EXPRESS,IH K S P R EH S
ANAL,EY N AH L
AWARD,AH W AO R D
DISTANCE,D IH S T AH N S
TREE,T R IY
PETER,P IY T ER
ASSESSMENT,AH S EH S M AH N T
THUS,DH AH S
WALL,W AO L
