word,phonemes
THANK,TH AE NG K
SOMEONE,S AH M W AH N
END,EH N D
CHANGE,CH EY N JH
HOWEVER,HH AW EH V ER
EVERYTHING,EH V R IY TH IH NG
FOUR,F AO R
LINE,L AY N
GIRL,G ER L
UNTIL,AH N T IH L
FATHER,F AA DH ER
SIT,S IH T
CREATE,K R IY EY T
INFORMATION,IH N F AO R M EY SH AH N
CAR,K AA R
LEARN,L ER N
LEAST,L IY S T
KILL,K IH L
PARTY,P AA R T IY
INCLUDE,IH N K L UW D
STAND,S T AE N D
TOGETHER,T AH G EH DH ER
FOLLOW,F AA L OW
HEALTH,HH EH L TH
REASON,R IY Z AH N
SPEAK,S P IY K
AGO,AH G OW
SET,S EH T
BLACK,B L AE K
MEMBER,M EH M B ER
ONCE,W AH N S
SOCIAL,S OW SH AH L
ALLOW,AH L AW
WIN,W IH N
BODY,B AA D IY
CONTINUE,K AH N T IH N Y UW
SPEND,S P EH N D
LEVEL,L EH V AH L
ABLE,EY B AH L
ALMOST,AO L M OW S T
BOY,B OY
UNIVERSITY,Y UW N AH V ER S AH T IY
STAY,S T EY
ADD,AE D
LATER,L EY T ER
FIVE,F AY V
PROBABLY,P R AA B AH B L IY
AMONG,AH M AH NG
FACE,F EY S
PUBLIC,P AH B L IH K
DIE,D AY
FOOD,F UW D
ELSE,EH L S
BUY,B AY
MORNING,M AO R N IH NG
PARENT,P EH R AH N T
OFFICE,AO F AH S
COURSE,K AO R S
SEND,S EH N D
DOOR,D AO R
SEVERAL,S EH V ER AH L
COURT,K AO R T
GROW,G R OW
BETTER,B EH T ER
OPEN,OW P AH N
MOMENT,M OW M AH N T
INCLUDING,IH N K L UW D IH NG
CONSIDER,K AH N S IH D ER
SECOND,S EH K AH N D
LATE,L EY T
STREET,S T R IY T
FREE,F R IY
EVERYONE,EH V R IY W AH N
POLICY,P AA L AH S IY
TABLE,T EY B AH L
SORRY,S AA R IY
CARE,K EH R
LOW,L OW
PLEASE,P L IY Z
HOPE,HH OW P
TRUE,T R UW
TEACHER,T IY CH ER
OFFER,AO F ER
DEATH,D EH TH
WHOLE,HH OW L
EXPERIENCE,IH K S P IH R IY AH N S
PLAN,P L AE N
EASY,IY Z IY
BUILD,B IH L D
EXPECT,IH K S P EH K T
HIMSELF,HH IH M S EH L F
AGE,EY JH
HARD,HH AA R D
SENSE,S EH N S
ACROSS,AH K R AO S
EARLY,ER L IY
COLLEGE,K AA L IH JH
MUSIC,M Y UW Z IH K
APPEAR,AH P IH R
MIND,M AY N D
CLASS,K L AE S
POLICE,P AH L IY S
SEASON,S IY Z AH N
TAX,T AE K S
HEART,HH AA R T
SON,S AH N
ART,AA R T
POSSIBLE,P AA S AH B AH L
SERVE,S ER V
BREAK,B R EY K
ALTHOUGH,AO L DH OW
AIR,EH R
FORCE,F AO R S
FOOT,F UH T
LISTEN,L IH S AH N
AGREE,AH G R IY
ACCORDING,AH K AO R D IH NG
BABY,B EY B IY
WRONG,R AO NG
CUT,K AH T
DECIDE,D IH S AY D
FULL,F UH L
BEHIND,B IH HH AY N D
PASS,P AE S
INTEREST,IH N T AH R EH S T
SECURITY,S IH K Y UH R AH T IY
EAT,IY T
CONTROL,K AH N T R OW L
RATE,R EY T
LOCAL,L OW K AH L
SUGGEST,S AH JH EH S T
NATION,N EY SH AH N
SELL,S EH L
ACTION,AE K SH AH N
SUPPORT,S AH P AO R T
WIFE,W AY F
DECISION,D IH S IH ZH AH N
VALUE,V AE L Y UW
BASE,B EY S
PICK,P IH K
PHONE,F OW N
THANKS,TH AE NG K S
DRIVE,D R AY V
STRONG,S T R AO NG
REACH,R IY CH
EXPLAIN,IH K S P L EY N
SITE,S AY T
HIT,HH IH T
PULL,P UH L
CHURCH,CH ER CH
MODEL,M AA D AH L
PERHAPS,P ER HH AE P S
RELATIONSHIP,R IY L EY SH AH N SH IH P
SIX,S IH K S
FINE,F AY N
MOVIE,M UW V IY
FIELD,F IY L D
RAISE,R EY Z
LESS,L EH S
PLAYER,P L EY ER
COUPLE,K AH P AH L
MILLION,M IH L Y AH N
LIGHT,L AY T
DEVELOPMENT,D IH V EH L AH P M AH N T
FORMER,F AO R M ER
ROLE,R OW L
PRETTY,P R IH T IY
MYSELF,M AY S EH L F
VIEW,V Y UW
PRICE,P R AY S
EFFORT,EH F ER T
QUITE,K W AY T
ALONG,AH L AO NG
VOICE,V OY S
FINALLY,F AY N AH L IY
DEPARTMENT,D IH P AA R T M AH N T
LEADER,L IY D ER
PHOTO,F OW T OW
WEAR,W EH R
SPACE,S P EY S
POSITION,P AH Z IH SH AH N
SPECIAL,S P EH SH AH L
FILM,F IH L M
MAJOR,M EY JH ER
TYPE,T AY P
TOWN,T AW N
ROAD,R OW D
FORM,F AO R M
CHANCE,CH AE N S
DRUG,D R AH G
SITUATION,S IH CH UW EY SH AH N
CHOOSE,CH UW Z
PRACTICE,P R AE K T IH S
HAPPY,HH AE P IY
SCIENCE,S AY AH N S
JOIN,JH OY N
TEACH,T IY CH
DEVELOP,D IH V EH L AH P
SHARE,SH EH R
CLEAR,K L IH R
BROTHER,B R AH DH ER
MATTER,M AE T ER
DEAD,D EH D
STAR,S T AA R
SIMPLY,S IH M P L IY
POST,P OW S T
SOCIETY,S OW S AY IH T IY
PICTURE,P IH K CH ER
PIECE,P IY S
PAPER,P EY P ER
ENERGY,EH N ER JH IY
PERSONAL,P ER S IH N AH L
BUILDING,B IH L D IH NG
ACTIVITY,AE K T IH V IH T IY
EXACTLY,IH G Z AE K T L IY
MEDIA,M IY D IY AH
MISS,M IH S
EVIDENCE,EH V AH D AH N S
PRODUCT,P R AA D AH K T
REALIZE,R IY AH L AY Z
SAVE,S EY V
ARM,AA R M
TECHNOLOGY,T EH K N AA L AH JH IY
CATCH,K AE CH
COMMENT,K AA M EH N T
TERM,T ER M
COVER,K AH V ER
DESCRIBE,D IH S K R AY B
GUESS,G EH S
CHOICE,CH OY S
SOURCE,S AO R S
MOM,M AA M
SOON,S UW N
RULE,R UW L
CAMPAIGN,K AE M P EY N
GROUND,G R AW N D
ELECTION,IH L EH K SH AH N
UH,AH
CHECK,CH EH K
PAGE,P EY JH
FIGHT,F AY T
ITSELF,IH T S EH L F
TEST,T EH S T
PATIENT,P EY SH AH N T
CERTAIN,S ER T AH N
HALF,HH AE F
VIDEO,V IH D IY OW
THROW,TH R OW
THIRD,TH ER D
REST,R EH S T
RECENT,R IY S AH N T
AVAILABLE,AH V EY L AH B AH L
STEP,S T EH P
READY,R EH D IY
OPPORTUNITY,AA P ER T UW N AH T IY
OFFICIAL,AH F IH SH AH L
OIL,OY L
ORGANIZATION,AO R G AH N AH Z EY SH AH N
CHARACTER,K EH R IH K T ER
SINGLE,S IH NG G AH L
LIKELY,L AY K L IY
FUTURE,F Y UW CH ER
DAD,D AE D
WHOSE,HH UW Z
SHOOT,SH UW T
INDUSTRY,IH N D AH S T R IY
LIST,L IH S T
STUFF,S T AH F
FIGURE,F IH G Y ER
ATTENTION,AH T EH N SH AH N
RISK,R IH S K
SHORT,SH AO R T
DOG,D AO G
RED,R EH D
HAIR,HH EH R
CONDITION,K AH N D IH SH AH N
WALL,W AO L
DAUGHTER,D AO T ER
DEAL,D IY L
AUTHOR,AO TH ER
TRUTH,T R UW TH
UPON,AH P AA N
HUSBAND,HH AH Z B AH N D
PERIOD,P IH R IY AH D
SERIES,S IH R IY Z
ORDER,AO R D ER
LAND,L AE N D
NOTE,N OW T
COMPUTER,K AH M P Y UW T ER
THOUGHT,TH AO T
GOAL,G OW L
BANK,B AE NG K
BEHAVIOR,B IH HH EY V Y ER
SOUND,S AW N D
CERTAINLY,S ER T AH N L IY
NEARLY,N IH R L IY
ACT,AE K T
NORTH,N AO R TH
BLOOD,B L AH D
CULTURE,K AH L CH ER
EVERYBODY,EH V R IY B AA D IY
DIFFICULT,D IH F AH K AH L T
WINDOW,W IH N D OW
POPULATION,P AA P Y AH L EY SH AH N
LIE,L AY
TREE,T R IY
PARK,P AA R K
WORKER,W ER K ER
DRAW,D R AO
PUSH,P UH SH
EARTH,ER TH
PER,P ER
PRIVATE,P R AY V AH T
RACE,R EY S
LETTER,L EH T ER
GUN,G AH N
SIMPLE,S IH M P AH L
WONDER,W AH N D ER
INVOLVE,IH N V AA L V
HELL,HH EH L
POOR,P UW R
ANSWER,AE N S ER
NATURE,N EY CH ER
ADMINISTRATION,AE D M IH N IH S T R EY SH AH N
COMMON,K AA M AH N
SONG,S AO NG
ENJOY,EH N JH OY
SIMILAR,S IH M AH L ER
CONGRESS,K AA NG G R AH S
ATTACK,AH T AE K
PAST,P AE S T
HOT,HH AA T
SEEK,S IY K
AMOUNT,AH M AW N T
ANALYSIS,AE N AE L IH S IH S
STORE,S T AO R
DEFENSE,D IH F EH N S
BILL,B IH L
CELL,S EH L
PERFORMANCE,P ER F AO R M AH N S
HOSPITAL,HH AA S P IH T AH L
BED,B EH D
BOARD,B AO R D
PROTECT,P R AH T EH K T
CENTURY,S EH N CH ER IY
SUMMER,S AH M ER
MATERIAL,M AH T IH R IY AH L
INDIVIDUAL,IH N D AH V IH JH AH W AH L
EXAMPLE,IH G Z AE M P AH L
FILL,F IH L
ANIMAL,AE N AH M AH L
FAIL,F EY L
FACTOR,F AE K T ER
SIR,S ER
AGENCY,EY JH AH N S IY
ABILITY,AH B IH L AH T IY
MILE,M AY L
STATEMENT,S T EY T M AH N T
ENTIRE,IH N T AY ER
DEMOCRAT,D EH M AH K R AE T
FLOOR,F L AO R
SERIOUS,S IH R IY AH S
CAREER,K ER IH R
VOTE,V OW T
SEX,S EH K S
COMPARE,K AH M P EH R
SOUTH,S AW TH
FORWARD,F AO R W ER D
IDENTIFY,AY D EH N T AH F AY
BEAUTIFUL,B Y UW T AH F AH L
BIT,B IH T
REDUCE,R IH D UW S
SISTER,S IH S T ER
QUALITY,K W AA L AH T IY
QUICKLY,K W IH K L IY
PRESS,P R EH S
WORRY,W ER IY
MENTION,M EH N SH AH N
THUS,DH AH S
PLANT,P L AE N T
MOVEMENT,M UW V M AH N T
SCENE,S IY N
SECTION,S EH K SH AH N
TREATMENT,T R IY T M AH N T
WISH,W IH SH
BENEFIT,B EH N AH F IH T
INTERESTING,IH N T AH R EH S T IH NG
WEST,W EH S T
APPROACH,AH P R OW CH
RESOURCE,R IY S AO R S
CLAIM,K L EY M
PROVE,P R UW V
SORT,S AO R T
SIZE,S AY Z
HANG,HH AE NG
SPORT,S P AO R T
LOSS,L AO S
ARGUE,AA R G Y UW
LEFT,L EH F T
MEETING,M IY T IH NG
SKILL,S K IH L
CARD,K AA R D
FEELING,F IY L IH NG
DESPITE,D IH S P AY T
DEGREE,D IH G R IY
CRIME,K R AY M
SIGN,S AY N
OCCUR,AH K ER
IMAGINE,IH M AE JH AH N
NEAR,N IH R
KING,K IH NG
BOX,B AA K S
SEVEN,S EH V AH N
LAUGH,L AE F
DISEASE,D IH Z IY Z
LADY,L EY D IY
DISCUSS,D IH S K AH S
FINISH,F IH N IH SH
DESIGN,D IH Z AY N
CONCERN,K AH N S ER N
BALL,B AO L
EAST,IY S T
RECOGNIZE,R EH K AH G N AY Z
APPLY,AH P L AY
PREPARE,P R IY P EH R
NETWORK,N EH T W ER K
SUCCESS,S AH K S EH S
DISTRICT,D IH S T R IH K T
CUP,K AH P
PHYSICAL,F IH Z IH K AH L
GROWTH,G R OW TH
RISE,R AY Z
HI,HH AY
STANDARD,S T AE N D ER D
FAN,F AE N
STAFF,S T AE F
HURT,HH ER T
LEGAL,L IY G AH L
SEPTEMBER,S EH P T EH M B ER
OUTSIDE,AW T S AY D
ET,EH T
STRATEGY,S T R AE T AH JH IY
CLEARLY,K L IH R L IY
PROPERTY,P R AA P ER T IY
LAY,L EY
FINAL,F AY N AH L
AUTHORITY,AH TH AO R AH T IY
METHOD,M EH TH AH D
REGION,R IY JH AH N
INDICATE,IH N D AH K EY T
SAFE,S EY F
COMMITTEE,K AH M IH T IY
SUPPOSED,S AH P OW Z D
DREAM,D R IY M
TRAINING,T R EY N IH NG
SHIT,SH IH T
CENTRAL,S EH N T R AH L
EIGHT,EY T
COMPLETELY,K AH M P L IY T L IY
OPINION,AH P IH N Y AH N
MAIN,M EY N
TEN,T EH N
INTERVIEW,IH N T ER V Y UW
EXIST,IH G Z IH S T
REMOVE,R IY M UW V
DARK,D AA R K
UNION,Y UW N Y AH N
PROFESSOR,P R AH F EH S ER
PRESSURE,P R EH SH ER
PURPOSE,P ER P AH S
STAGE,S T EY JH
BLUE,B L UW
HERSELF,HH ER S EH L F
SUN,S AH N
PAIN,P EY N
AVOID,AH V OY D
ACCOUNT,AH K AW N T
RELEASE,R IY L IY S
FUND,F AH N D
ENVIRONMENT,IH N V AY R AH N M AH N T
TREAT,T R IY T
VERSION,V ER ZH AH N
SHOT,SH AA T
HATE,HH EY T
REALITY,R IY AE L AH T IY
VISIT,V IH Z IH T
CLUB,K L AH B
RIVER,R IH V ER
BRAIN,B R EY N
MEMORY,M EH M ER IY
ROCK,R AA K
GLOBAL,G L OW B AH L
VARIOUS,V EH R IY AH S
ARRIVE,ER AY V
CHALLENGE,CH AE L AH N JH
ARGUMENT,AA R G Y AH M AH N T
WEAPON,W EH P AH N
STATION,S T EY SH AH N
ISLAND,AY L AH N D
ABSOLUTELY,AE B S AH L UW T L IY
INSTEAD,IH N S T EH D
DISCUSSION,D IH S K AH SH AH N
AFFECT,AH F EH K T
ANYWAY,EH N IY W EY
TROUBLE,T R AH B AH L
CONVERSATION,K AA N V ER S EY SH AH N
DATE,D EY T
ARMY,AA R M IY
CHARGE,CH AA R JH
SEAT,S IY T
ASSUME,AH S UW M
WRITER,R AY T ER
PERFORM,P ER F AO R M
GREEN,G R IY N
MARRIAGE,M EH R IH JH
OPERATION,AA P ER EY SH AH N
INDEED,IH N D IY D
SLEEP,S L IY P
NECESSARY,N EH S AH S EH R IY
AGENT,EY JH AH N T
ACCESS,AE K S EH S
BAR,B AA R
DEBATE,D AH B EY T
LEG,L EH G
CONTAIN,K AH N T EY N
BEAT,B IY T
COOL,K UW L
DEMOCRATIC,D EH M AH K R AE T IH K
COLD,K OW L D
GLASS,G L AE S
IMPROVE,IH M P R UW V
TRADE,T R EY D
REVIEW,R IY V Y UW
MEASURE,M EH ZH ER
STOCK,S T AA K
GAS,G AE S
DEEP,D IY P
MIDDLE,M IH D AH L
ORIGINAL,ER IH JH AH N AH L
VICTIM,V IH K T IH M
CANCER,K AE N S ER
SPEECH,S P IY CH
NONE,N AH N
ITEM,AY T AH M
WEIGHT,W EY T
POSITIVE,P AA Z AH T IH V
TRIP,T R IH P
ESTABLISH,IH S T AE B L IH SH
EXECUTIVE,IH G Z EH K Y AH T IH V
POLITICS,P AA L AH T IH K S
STICK,S T IH K
CUSTOMER,K AH S T AH M ER
PUBLISH,P AH B L IH SH
POPULAR,P AA P Y AH L ER
SING,S IH NG
AHEAD,AH HH EH D
TOTAL,T OW T AH L
DISCOVER,D IH S K AH V ER
FAST,F AE S T
MAINTAIN,M EY N T EY N
MAJORITY,M AH JH AO R AH T IY
PEACE,P IY S
DINNER,D IH N ER
PARTNER,P AA R T N ER
USER,Y UW Z ER
ABOVE,AH B AH V
FLY,F L AY
BAG,B AE G
THEREFORE,DH EH R F AO R
RICH,R IH CH
TOUGH,T AH F
OWNER,OW N ER
SHALL,SH AE L
VOTER,V OW T ER
TOOL,T UW L
JUNE,JH UW N
MOUNTAIN,M AW N T AH N
RANGE,R EY N JH
COACH,K OW CH
FEAR,F IH R
ATTORNEY,AH T ER N IY
UNLESS,AH N L EH S
NOR,N AO R
EXPERT,EH K S P ER T
STRUCTURE,S T R AH K CH ER
BUDGET,B AH JH IH T
INSURANCE,IH N SH UH R AH N S
TEXT,T EH K S T
FREEDOM,F R IY D AH M
CRAZY,K R EY Z IY
READER,R IY D ER
STYLE,S T AY L
MARCH,M AA R CH
MACHINE,M AH SH IY N
NOVEMBER,N OW V EH M B ER
GENERATION,JH EH N ER EY SH AH N
INCOME,IH N K AH M
BORN,B AO R N
ADMIT,AH D M IH T
SEA,S IY
MOUTH,M AW TH
THROUGHOUT,TH R UW AW T
WEB,W EH B
SHAKE,SH EY K
THREAT,TH R EH T
SOLUTION,S AH L UW SH AH N
SHUT,SH AH T
TRAVEL,T R AE V AH L
SCIENTIST,S AY AH N T IH S T
HIDE,HH AY D
OBVIOUSLY,AA B V IY AH S L IY
ALONE,AH L OW N
DRINK,D R IH NG K
INVESTIGATION,IH N V EH S T AH G EY SH AH N
SENATOR,S EH N AH T ER
PHOTOGRAPH,F OW T AH G R AE F
TELEVISION,T EH L AH V IH ZH AH N
KEY,K IY
SEXUAL,S EH K SH UW AH L
RADIO,R EY D IY OW
MODERN,M AA D ER N
VIOLENCE,V AY AH L AH N S
TOUCH,T AH CH
FEATURE,F IY CH ER
EVENING,IY V N IH NG
WHOM,HH UW M
FRONT,F R AH N T
HALL,HH AO L
TASK,T AE S K
SCORE,S K AO R
SKIN,S K IH N
SUFFER,S AH F ER
WIDE,W AY D
CIVIL,S IH V AH L
SAFETY,S EY F T IY
WORTH,W ER TH
TITLE,T AY T AH L
HEAT,HH IY T
NORMAL,N AO R M AH L
YARD,Y AA R D
FINGER,F IH NG G ER
TEND,T EH N D
MISSION,M IH SH AH N
PARTICIPANT,P AA R T IH S AH P AH N T
HOTEL,HH OW T EH L
JUDGE,JH AH JH
PATTERN,P AE T ER N
INSTITUTION,IH N S T IH T UW SH AH N
FAITH,F EY TH
PROFESSIONAL,P R AH F EH SH AH N AH L
FOLK,F OW K
SURFACE,S ER F AH S
CLIENT,K L AY AH N T
EDGE,EH JH
TRADITIONAL,T R AH D IH SH AH N AH L
COUNCIL,K AW N S AH L
DEVICE,D IH V AY S
FIRM,F ER M
RESPONSIBILITY,R IY S P AA N S AH B IH L AH T IY
CHAIR,CH EH R
INTERNET,IH N T ER N EH T
OCTOBER,AA K T OW B ER
FUNNY,F AH N IY
IMMEDIATELY,IH M IY D IY AH T L IY
SHIP,SH IH P
PREVIOUS,P R IY V IY AH S
CONSUMER,K AH N S UW M ER
ELEMENT,EH L AH M AH N T
NUCLEAR,N UW K L IY ER
AFRAID,AH F R EY D
DEFINE,D IH F AY N
HANDLE,HH AE N D AH L
TRACK,T R AE K
LACK,L AE K
ANNOUNCE,AH N AW N S
JOURNAL,JH ER N AH L
HEAVY,HH EH V IY
ICE,AY S
COLLECTION,K AH L EH K SH AH N
FEED,F IY D
SOLDIER,S OW L JH ER
GOVERNOR,G AH V ER N ER
FISH,F IH SH
SHOULDER,SH OW L D ER
CULTURAL,K AH L CH ER AH L
SUCCESSFUL,S AH K S EH S F AH L
FAIR,F EH R
TRUST,T R AH S T
SUDDENLY,S AH D AH N L IY
INTERESTED,IH N T AH R EH S T IH D
DELIVER,D IH L IH V ER
FRESH,F R EH SH
ANYBODY,EH N IY B AH D IY
DESTROY,D IH S T R OY
CRITICAL,K R IH T IH K AH L
AGREEMENT,AH G R IY M AH N T
POWERFUL,P AW ER F AH L
RESEARCHER,R IY S ER CH ER
CONCEPT,K AA N S EH P T
WILLING,W IH L IH NG
BAND,B AE N D
MARRY,M EH R IY
PROMISE,P R AA M AH S
EASILY,IY Z AH L IY
LEAGUE,L IY G
SENIOR,S IY N Y ER
CAPITAL,K AE P IH T AH L
ANYMORE,EH N IY M AO R
APRIL,EY P R AH L
POTENTIAL,P AH T EH N SH AH L
ETC,EH T S EH T ER AH
QUICK,K W IH K
MAGAZINE,M AE G AH Z IY N
ATTEND,AH T EH N D
HILL,HH IH L
KITCHEN,K IH CH AH N
ACHIEVE,AH CH IY V
SCREEN,S K R IY N
MISTAKE,M IH S T EY K
STRIKE,S T R AY K
BATTLE,B AE T AH L
SPOT,S P AA T
BASIC,B EY S IH K
CORNER,K AO R N ER
DRIVER,D R AY V ER
BEGINNING,B IH G IH N IH NG
CRISIS,K R AY S AH S
COUNT,K AW N T
ENGAGE,IH N G EY JH
COMMUNICATION,K AH M Y UW N AH K EY SH AH N
MURDER,M ER D ER
BLOW,B L OW
EXPRESS,IH K S P R EH S
HUH,HH AH
BLOG,B L AO G
SMILE,S M AY L
BELIEF,B IH L IY F
BLOCK,B L AA K
DEBT,D EH T
LABOR,L EY B ER
UNDERSTANDING,AH N D ER S T AE N D IH NG
NEIGHBORHOOD,N EY B ER HH UH D
SPECIES,S P IY SH IY Z
ADDITIONAL,AH D IH SH AH N AH L
SAMPLE,S AE M P AH L
INVOLVED,IH N V AA L V D
PATH,P AE TH
CONCERNED,K AH N S ER N D
APPLE,AE P AH L
GOD,G AA D
WONDERFUL,W AH N D ER F AH L
LIBRARY,L AY B R EH R IY
PRISON,P R IH Z AH N
HOLE,HH OW L
ATTEMPT,AH T EH M P T
COMPLETE,K AH M P L IY T
CODE,K OW D
SALES,S EY L Z
GIFT,G IH F T
GARDEN,G AA R D AH N
ROLL,R OW L
DEFINITELY,D EH F AH N AH T L IY
LAKE,L EY K
EARN,ER N
PLANE,P L EY N
EXAMINE,IH G Z AE M IH N
APPLICATION,AE P L AH K EY SH AH N
GAIN,G EY N
FILE,F AY L
BILLION,B IH L Y AH N
IGNORE,IH G N AO R
WELCOME,W EH L K AH M
GOLD,G OW L D
JUMP,JH AH M P
PLANET,P L AE N AH T
LOCATION,L OW K EY SH AH N
BIRD,B ER D
AMAZING,AH M EY Z IH NG
PRINCIPLE,P R IH N S AH P AH L
PROMOTE,P R AH M OW T
SEARCH,S ER CH
NINE,N AY N
ALIVE,AH L AY V
POSSIBILITY,P AA S AH B IH L AH T IY
SKY,S K AY
OTHERWISE,AH DH ER W AY Z
REMIND,R IY M AY N D
HEALTHY,HH EH L TH IY
FIT,F IH T
HORSE,HH AO R S
ADVANTAGE,AE D V AE N T IH JH
COMMERCIAL,K AH M ER SH AH L
STEAL,S T IY L
CONTEXT,K AA N T EH K S T
HIGHLY,HH AY L IY
CHRISTMAS,K R IH S M AH S
BEACH,B IY CH
WRITING,R AY T IH NG
MASTER,M AE S T ER
CRY,K R AY
SCALE,S K EY L
RESIDENT,R EH Z IH D AH N T
FOOTBALL,F UH T B AO L
SWEET,S W IY T
FAILURE,F EY L Y ER
REPORTER,R IH P AO R T ER
COMMIT,K AH M IH T
VISION,V IH ZH AH N
FUNCTION,F AH NG K SH AH N
TRULY,T R UW L IY
SICK,S IH K
CHINESE,CH AY N IY Z
CONNECTION,K AH N EH K SH AH N
CAMP,K AE M P
STONE,S T OW N
TRUCK,T R AH K
AFTERNOON,AE F T ER N UW N
RESPONSIBLE,R IY S P AA N S AH B AH L
SECRETARY,S EH K R AH T EH R IY
APPARENTLY,AH P EH R AH N T L IY
SMART,S M AA R T
SOUTHERN,S AH DH ER N
TOTALLY,T OW T AH L IY
COLLECT,K AH L EH K T
BURN,B ER N
LEARNING,L ER N IH NG
WAKE,W EY K
CONTRIBUTE,K AH N T R IH B Y UW T
RIDE,R AY D
BRITISH,B R IH T IH SH
FOLLOWING,F AA L OW IH NG
NEWSPAPER,N UW Z P EY P ER
FOUNDATION,F AW N D EY SH AH N
VARIETY,V ER AY AH T IY
PERSPECTIVE,P ER S P EH K T IH V
PRESENCE,P R EH Z AH N S
STARE,S T EH R
LESSON,L EH S AH N
LIMIT,L IH M AH T
APPRECIATE,AH P R IY SH IY EY T
OBSERVE,AH B Z ER V
